username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
gangashankar62,TRUE,369,1231,118,0.3,0,FALSE,FALSE,0,FALSE,FALSE,2,1
umesh_v_,TRUE,161,242,6,0.67,40,FALSE,FALSE,0,TRUE,FALSE,0,1
pansare_ankita_,TRUE,196,209,20,0.94,41,FALSE,FALSE,0,TRUE,FALSE,0,1
sanchi_jain9,TRUE,337,238,9,1.42,11,TRUE,FALSE,1,TRUE,FALSE,1,1
sameer_7485,TRUE,730,488,11,1.5,4,FALSE,FALSE,0,TRUE,FALSE,4,1
karan_purswani__,TRUE,493,763,8,0.65,30,FALSE,FALSE,0,FALSE,FALSE,0,1
waghvaibhav1987,TRUE,129,17,0,7.59,84,FALSE,TRUE,1,TRUE,FALSE,4,1
_.rushikeshmali._,TRUE,97,126,1,0.77,44,FALSE,FALSE,0,TRUE,FALSE,0,1
parigya.gupta,TRUE,417,568,1,0.73,0,FALSE,FALSE,0,FALSE,FALSE,0,1
aditya_bhoite20,TRUE,262,565,3,0.46,6,FALSE,FALSE,0,FALSE,FALSE,2,1
yashmishra1702___,TRUE,297,378,37,0.79,0,FALSE,FALSE,0,FALSE,FALSE,4,1
_kushhalll_,TRUE,1169,904,3,1.29,37,FALSE,FALSE,1,TRUE,FALSE,0,1
hzmalz,TRUE,351,685,0,0.51,17,FALSE,FALSE,0,TRUE,FALSE,0,1
shivamchauhan25886,FALSE,24,49,0,0.49,0,FALSE,FALSE,0,FALSE,FALSE,5,1
sunnypatel_007,TRUE,516,869,6,0.59,50,FALSE,FALSE,0,TRUE,FALSE,3,1
i._nitikesh._2k,TRUE,371,324,31,1.15,13,FALSE,FALSE,0,TRUE,FALSE,1,1
_.sujal_7574_,FALSE,468,482,4,0.97,0,FALSE,FALSE,0,FALSE,FALSE,4,1
_.puresoulart._,FALSE,61,64,12,0.95,0,FALSE,FALSE,0,FALSE,FALSE,0,1
_ritika.l,FALSE,260,308,0,0.84,0,FALSE,FALSE,0,FALSE,FALSE,0,1
miss_neha_pansare_,TRUE,454,348,57,1.3,61,FALSE,FALSE,0,TRUE,FALSE,0,1
